YEAR,PLAYER_ID,PLAYER,TEAM_ID,TEAM,GP,FG_PCT,FG3_PCT,FT_PCT,EFF,AST_TOV,PPG,RPG,APG,SPG,BPG,TPG,is_all_nba,POSITION,season_start_year,WinPCT,Start_Year,TeamID,WinningFactor
2010-11,201142,Kevin Durant,1610612760,OKC,78,0.462,0.35,0.88,1946,0.98,27.705128205128204,6.833333333333333,2.743589743589744,1.1282051282051282,0.9743589743589745,2.7948717948717947,True,Forward,2010,0.671,2010,1610612760,1305.766
2010-11,201566,Russell Westbrook,1610612760,OKC,82,0.442,0.33,0.842,1835,2.12,21.865853658536587,4.621951219512195,8.170731707317072,1.8902439024390243,0.3658536585365853,3.8536585365853657,True,Guard,2010,0.671,2010,1610612760,1231.285
2010-11,201935,James Harden,1610612760,OKC,82,0.436,0.349,0.843,999,1.66,12.170731707317072,3.109756097560976,2.1463414634146343,1.1219512195121952,0.2926829268292683,1.2926829268292683,False,Guard,2010,0.671,2010,1610612760,670.3290000000001
2010-11,201586,Serge Ibaka,1610612760,OKC,82,0.543,0.0,0.75,1282,0.31,9.853658536585366,7.585365853658536,0.2682926829268293,0.3780487804878049,2.414634146341464,0.8658536585365854,False,Forward,2010,0.671,2010,1610612760,860.2220000000001
2010-11,1737,Nazr Mohammed,1610612760,OKC,75,0.522,0.0,0.598,683,0.33,7.133333333333334,4.906666666666666,0.3066666666666666,0.4,0.7466666666666667,0.9333333333333332,False,Center,2010,0.671,2010,1610612760,458.293
2010-11,101126,Nate Robinson,1610612760,OKC,59,0.399,0.325,0.818,333,1.63,6.796610169491525,1.5254237288135593,1.88135593220339,0.4915254237288136,0.0677966101694915,1.152542372881356,False,Guard,2010,0.671,2010,1610612760,223.443
2010-11,200757,Thabo Sefolosha,1610612760,OKC,79,0.471,0.275,0.747,742,2.02,5.075949367088608,4.379746835443038,1.4050632911392404,1.2278481012658229,0.4810126582278481,0.6962025316455697,False,Forward-Guard,2010,0.671,2010,1610612760,497.882
2010-11,201953,Eric Maynor,1610612760,OKC,82,0.402,0.385,0.729,456,3.09,4.243902439024391,1.475609756097561,2.902439024390244,0.4268292682926829,0.073170731707317,0.9390243902439024,False,Guard,2010,0.671,2010,1610612760,305.976
2010-11,2555,Nick Collison,1610612760,OKC,71,0.566,0.0,0.753,609,1.25,4.633802816901408,4.450704225352113,0.971830985915493,0.5915492957746479,0.4366197183098591,0.7746478873239436,False,Forward-Center,2010,0.671,2010,1610612760,408.639
2010-11,201161,Daequan Cook,1610612760,OKC,43,0.436,0.422,0.8,223,1.18,5.558139534883721,1.6744186046511629,0.4651162790697674,0.3255813953488372,0.0232558139534883,0.3953488372093023,False,Guard,2010,0.671,2010,1610612760,149.633
2010-11,2570,Kendrick Perkins,1610612760,OKC,29,0.515,0.0,0.556,316,0.46,6.0,8.0,0.896551724137931,0.3103448275862069,0.896551724137931,1.9310344827586208,False,Center,2010,0.671,2010,1610612760,212.036
2010-11,2767,Royal Ivey,1610612760,OKC,25,0.421,0.438,1.0,44,1.4,1.64,0.64,0.28,0.24,0.04,0.2,False,Guard,2010,0.671,2010,1610612760,29.524
2010-11,201957,Byron Mullens,1610612760,OKC,13,0.321,0.0,0.5,20,0.0,1.9230769230769231,1.8461538461538465,0.0,0.1538461538461538,0.2307692307692307,0.6153846153846154,False,Center,2010,0.671,2010,1610612760,13.420000000000002
2010-11,202332,Cole Aldrich,1610612760,OKC,18,0.533,0.0,0.5,52,0.5,1.0,1.9444444444444444,0.2222222222222222,0.2777777777777778,0.3888888888888889,0.4444444444444444,False,Center,2010,0.671,2010,1610612760,34.892
2010-11,2050,Morris Peterson,1610612760,OKC,4,0.4,0.0,0.0,5,0.0,1.0,0.75,0.25,0.0,0.0,0.0,False,Guard,2010,0.671,2010,1610612760,3.3550000000000004
2010-11,2544,LeBron James,1610612748,MIA,79,0.51,0.33,0.759,2258,1.95,26.72151898734177,7.468354430379747,7.012658227848101,1.5696202531645569,0.6329113924050633,3.59493670886076,True,Forward,2010,0.707,2010,1610612748,1596.406
2010-11,2548,Dwyane Wade,1610612748,MIA,76,0.5,0.306,0.758,1883,1.46,25.539473684210527,6.381578947368421,4.552631578947368,1.4605263157894737,1.144736842105263,3.1184210526315788,True,Guard,2010,0.707,2010,1610612748,1331.281
2010-11,2547,Chris Bosh,1610612748,MIA,77,0.496,0.24,0.815,1574,1.04,18.675324675324678,8.324675324675324,1.87012987012987,0.7662337662337663,0.6363636363636364,1.792207792207792,False,Forward,2010,0.707,2010,1610612748,1112.818
2010-11,1710,Mike Bibby,1610612748,MIA,80,0.431,0.44,0.629,755,2.62,8.6,2.4375,3.3125,0.625,0.1125,1.2625,False,Guard,2010,0.707,2010,1610612748,533.785
2010-11,2592,James Jones,1610612748,MIA,81,0.422,0.429,0.833,493,2.05,5.864197530864198,1.9753086419753083,0.5308641975308642,0.3580246913580246,0.2345679012345679,0.2592592592592592,False,Guard-Forward,2010,0.707,2010,1610612748,348.551
2010-11,201596,Mario Chalmers,1610612748,MIA,70,0.399,0.359,0.871,521,1.95,6.385714285714286,2.085714285714286,2.5285714285714285,1.0857142857142856,0.1,1.3,False,Guard,2010,0.707,2010,1610612748,368.347
2010-11,2067,Eddie House,1610612748,MIA,56,0.399,0.389,0.95,327,2.14,6.464285714285714,1.6428571428571428,1.1071428571428572,0.5714285714285714,0.0535714285714285,0.5178571428571429,False,Guard,2010,0.707,2010,1610612748,231.189
2010-11,980,Zydrunas Ilgauskas,1610612748,MIA,72,0.508,0.0,0.783,535,0.5,5.0,3.986111111111111,0.3611111111111111,0.3194444444444444,0.8055555555555556,0.7222222222222222,False,Center,2010,0.707,2010,1610612748,378.245
2010-11,2034,Mike Miller,1610612748,MIA,41,0.401,0.364,0.676,312,1.24,5.560975609756097,4.487804878048781,1.2439024390243902,0.4878048780487805,0.048780487804878,1.0,False,Guard-Forward,2010,0.707,2010,1610612748,220.58399999999997
2010-11,201202,Joel Anthony,1610612748,MIA,75,0.535,0.0,0.644,438,0.67,2.04,3.546666666666667,0.32,0.1333333333333333,1.24,0.48,False,Center,2010,0.707,2010,1610612748,309.666
2010-11,436,Juwan Howard,1610612748,MIA,57,0.44,0.0,0.829,197,0.92,2.43859649122807,2.1403508771929824,0.4035087719298245,0.175438596491228,0.0701754385964912,0.4385964912280701,False,Forward,2010,0.707,2010,1610612748,139.279
2010-11,956,Erick Dampier,1610612748,MIA,51,0.584,0.0,0.545,299,0.69,2.5098039215686274,3.4705882352941178,0.4313725490196078,0.2745098039215686,0.9215686274509804,0.6274509803921569,False,Center,2010,0.707,2010,1610612748,211.393
2010-11,2617,Udonis Haslem,1610612748,MIA,13,0.512,0.0,0.8,166,0.43,8.0,8.153846153846153,0.4615384615384615,0.5384615384615384,0.2307692307692307,1.0769230769230769,False,Forward,2010,0.707,2010,1610612748,117.362
2010-11,2048,Jamaal Magloire,1610612748,MIA,18,0.591,0.0,0.5,82,0.6,1.9444444444444444,3.388888888888889,0.1666666666666666,0.2222222222222222,0.1111111111111111,0.2777777777777778,False,Center,2010,0.707,2010,1610612748,57.974
2010-11,711,Jerry Stackhouse,1610612748,MIA,7,0.25,0.25,0.714,11,1.5,1.7142857142857142,1.0,0.4285714285714285,0.0,0.2857142857142857,0.2857142857142857,False,Forward,2010,0.707,2010,1610612748,7.776999999999999
2010-11,202354,Dexter Pittman,1610612748,MIA,2,0.333,0.0,0.0,1,0.0,1.0,1.5,0.0,0.0,0.0,1.0,False,Center,2010,0.707,2010,1610612748,0.707
2010-11,977,Kobe Bryant,1610612747,LAL,82,0.451,0.323,0.828,1754,1.6,25.341463414634145,5.109756097560975,4.7317073170731705,1.2073170731707317,0.1463414634146341,2.963414634146341,True,Forward-Guard,2010,0.695,2010,1610612747,1219.03
2010-11,2200,Pau Gasol,1610612747,LAL,82,0.529,0.333,0.823,2083,1.92,18.79268292682927,10.195121951219512,3.3292682926829267,0.5853658536585366,1.5853658536585369,1.7317073170731707,True,Center-Forward,2010,0.695,2010,1610612747,1447.685
2010-11,1885,Lamar Odom,1610612747,LAL,82,0.53,0.382,0.675,1608,1.79,14.390243902439025,8.658536585365853,3.0365853658536586,0.573170731707317,0.7439024390243902,1.695121951219512,False,Forward,2010,0.695,2010,1610612747,1117.56
2010-11,200769,Shannon Brown,1610612747,LAL,82,0.425,0.349,0.911,594,1.28,8.682926829268293,1.9146341463414636,1.170731707317073,0.8170731707317073,0.1951219512195122,0.9146341463414634,False,Guard,2010,0.695,2010,1610612747,412.83
